,gene,logFC,AveExpr,P.Value,FDR
MS4A7,MS4A7,-0.55354213418909,8.92532224512212,2.53537575771494e-21,1.45039590965153e-19
ST3GAL1,ST3GAL1,0.551522586830581,8.57715526209042,1.94580599576746e-45,4.4626176055656e-43
CCNB2,CCNB2,0.551022921421765,8.01349241544596,1.06003423865352e-31,1.37848163777067e-29
MTFR1,MTFR1,0.54766650328407,7.8393284451573,2.18755162597111e-64,9.35382244406764e-62
MFSD3,MFSD3,0.544616096384658,9.18284605407036,1.3495636058361e-55,4.53957208640441e-53
FBXL6,FBXL6,0.541969011347267,7.31059276220114,7.28800740622807e-74,3.99699675748525e-71
DCLK1,DCLK1,-0.541479257033278,7.7150230867714,7.65939265068621e-23,4.91682335347358e-21
KIAA1688,KIAA1688,0.541079769766113,8.65741733636392,1.0211269815109e-51,2.99546412669266e-49
HMGCS2,HMGCS2,-0.540935060672077,7.48925327937385,2.85212696730135e-07,2.45910660051532e-06
WDYHV1,WDYHV1,0.540065882353925,7.62092539665234,4.08200076650336e-110,1.47115307624781e-106
MELK,MELK,0.535106721965173,7.47992748563051,1.05302583535087e-30,1.28336887798221e-28
MED30,MED30,0.535097489537487,8.50250829465693,2.92924111943952e-61,1.11968022668516e-58
LOC388743,LOC388743,-0.534952561549517,6.74200500386507,3.28739076928167e-17,1.23598054139252e-15
UQCRB,UQCRB,0.532792099800134,7.91547543408616,1.17819342421641e-51,3.41649008116454e-49
HES6,HES6,0.532490789221578,7.56755638914883,3.52150308008741e-32,4.80218809213217e-30
KIFC2,KIFC2,0.530009248089968,7.53902164210264,8.4906779252366e-48,2.20827652265844e-45
TFF3,TFF3,-0.525462893658927,11.7335013741901,1.43156121199931e-05,9.07650823229921e-05
ENPP5,ENPP5,-0.523297151768078,7.59042489988995,2.87869757278987e-20,1.48654547614388e-18
BIRC5,BIRC5,0.521447428883606,7.11778884829754,2.72530045390995e-28,2.70684566343465e-26
CYP4X1,CYP4X1,-0.520621386436448,8.73739536181613,6.4646596525343e-08,6.26307349132624e-07
GRIA2,GRIA2,-0.520521545533285,6.51746274464787,4.12421192933308e-08,4.14359293322242e-07
PVT1,PVT1,0.518026754737808,6.14343249847755,1.75737058549727e-85,1.47783150436417e-82
CDC45L,CDC45L,0.517758167554605,7.2378158174575,1.1007769133237e-33,1.67291566080303e-31
PTDSS1,PTDSS1,0.517281383867344,9.03138755083759,7.6876816779578e-84,5.54128095347198e-81
C8orf4,C8orf4,-0.514601773734,7.79435766859008,5.85270986100089e-14,1.47063908738377e-12
SLC44A4,SLC44A4,-0.511319411257022,7.86579480190165,5.98351538780871e-17,2.17197303890127e-15
CYP4Z2P,CYP4Z2P,-0.510790000283685,7.57334193910992,2.05335206944309e-08,2.17017033966947e-07
AURKB,AURKB,0.509791803372662,7.00868268778593,4.71917665153103e-36,8.09900602481801e-34
UGT2B11,UGT2B11,-0.509161067685949,6.91688997188496,1.28907209623986e-06,9.94517151190797e-06
TPX2,TPX2,0.508992358500456,6.87798351216984,4.0271341727381e-41,8.06321753252674e-39
TPD52,TPD52,0.507673901119891,8.67483296033117,2.46715985149961e-27,2.27990874482169e-25
MYH11,MYH11,-0.506766087289496,8.74027282949776,6.66540675766574e-13,1.42022704123641e-11
TMEM97,TMEM97,0.505095081814438,8.77431137305297,8.10589549038024e-37,1.47119087360657e-34
FOS,FOS,-0.505007073338699,9.69943554281324,2.32984780130458e-10,3.36062894976054e-09
GRINA,GRINA,0.504768125982911,9.67486666652855,2.28567202067131e-59,8.35694691847765e-57
PRC1,PRC1,0.501385538573058,8.61739240012291,9.64881218017379e-31,1.18165161981274e-28
KIF13B,KIF13B,-0.500817086297779,8.55748897457326,3.08842015401125e-30,3.6239378439719e-28
UHRF1,UHRF1,0.49935766631823,8.0398918900115,2.34109561558748e-31,2.96789749698698e-29
MLPH,MLPH,-0.499322150753554,11.3493923153182,2.16200256644267e-09,2.67651522123786e-08
MSLN,MSLN,0.499104124523422,6.12203351734272,9.01961513045357e-13,1.8774492616426e-11
KIF20A,KIF20A,0.497949265780816,7.19889639701456,4.04802008484624e-37,7.40025005076094e-35
LOC731049,LOC731049,0.496210291666571,9.25280424742041,9.15637440496865e-35,1.48075008646506e-32
