,gene,logFC,logCPM,LR,PValue,FDR
210,SLC22A3,-0.781702937444195,6.1265003831266,14.9688517064465,0.000109300556707827,0.00128551425436255
211,CYP3A5,-0.781593402177787,3.67949488497628,27.5476106949532,1.53274596797473e-07,5.51176251101064e-06
212,SQLE,0.779713867946655,5.59311501714755,64.2724135665836,1.08352270888979e-15,6.77960158952341e-13
213,RIPOR2,0.776847585729946,3.71121654496453,16.89940792859,3.94138746676505e-05,0.000557947090035044
214,CD177,-0.776521437074579,5.81415790929209,6.06695043024888,0.0137734566154189,0.05570815645939
215,SESN3,0.775831868526871,6.48014296448536,38.2872505540205,6.10602800307145e-10,4.65919722136806e-08
216,AOX1,-0.774989835096741,4.4251303699805,18.5639069748548,1.64302135880569e-05,0.000280119472535345
217,PTPRQ,-0.774535977416162,1.04343070695426,5.50919589574926,0.0189167418842133,0.071474670271451
218,TK1,0.771950843049835,4.24049998153696,37.0935044958511,1.1259817556905e-09,8.09800901764994e-08
219,PCP4,-0.771854192410276,5.67008595737723,15.5396828886011,8.07913475551138e-05,0.000991198944416367
220,CES1,-0.767226542400603,4.85398747275212,19.8076441768565,8.56394972057756e-06,0.000166930322123532
221,SP5,0.766978173878252,3.45533495817785,17.5607537128533,2.78272582297991e-05,0.000421847571471912
222,SSTR1,0.766346134962908,4.55361050297015,12.1230193232785,0.000498032008701468,0.0042110625384393
223,ZBTB20,-0.765487991620207,3.35234037483977,11.0850394578532,0.000870269709704138,0.00660834656992572
224,PCDH17,0.762078399549949,3.73284209841263,12.0475515474197,0.000518604520986848,0.00435558186283853
225,WFDC1,-0.758453054314274,5.24876925878861,20.9433850356417,4.73058490731448e-06,0.000102066447465747
226,SYNM,-0.753041840963545,7.74703683651724,18.5431103263206,1.66104528347716e-05,0.000282422835291211
227,TMEM178A,-0.742987887522263,5.60883446737351,10.3001031618529,0.00133022772339759,0.00923378138445793
228,KRT17,-0.741166295734994,7.41848242387255,9.22708076799677,0.00238461539351563,0.014682267126766
229,KIFC2,0.740416164104274,4.51399698208188,30.6315762911265,3.11974930864117e-08,1.45673667344536e-06
230,AOC1,-0.735508394183094,4.51019641632944,4.39706944472982,0.0360007430803517,0.113989850851079
231,GSTA1,0.73435403699387,3.21606904539358,7.81323245844067,0.00518650500626201,0.026491397407495
232,SNAI2,-0.730928094760326,3.7211913305844,17.1079743676801,3.53137201301807e-05,0.000511476728829955
233,GP2,0.722374834123624,6.62017391936755,7.97222837668301,0.00475004282950423,0.0248088630919933
234,MT1E,-0.721511106933014,6.44824773255726,9.7144817293821,0.00182821629135424,0.0119157805572953
235,ARHGAP28,0.72150813737319,4.56495535361175,25.3090551183096,4.88410497238344e-07,1.51286360456451e-05
236,GAS1,-0.718930273790605,3.83605543564011,18.3934305461894,1.79676387211319e-05,0.000301403526750999
237,CEACAM20,0.718111507477307,3.56492427401816,5.76556406524548,0.0163432379158602,0.0639522449277907
238,GSTP1,-0.713310109549406,6.64904401105048,18.8212858887822,1.43556022744227e-05,0.000253022544876233
239,KCNMB1,-0.711709132846544,5.29554688737183,18.6368210430011,1.58136614698389e-05,0.000272578732277637
240,RND3,-0.710694211794069,4.92086775845421,22.0697935151325,2.62914550812005e-06,6.32713978627199e-05
241,PDLIM4,-0.708186112640923,4.67121311017354,23.1043049401097,1.53446759787674e-06,4.10306143586101e-05
242,ID4,-0.70812924147167,4.8436093984797,17.8093439158455,2.4418115335315e-05,0.000380060068788722
243,EPHB6,-0.705241839000124,5.80014097086787,22.3956054633788,2.21881119156797e-06,5.6055621453786e-05
244,PPP1R14A,-0.700784605507863,4.08906485358785,15.4671012618331,8.39538566843213e-05,0.00101999860441514
245,MEIS2,-0.698283978631421,5.0599496627066,21.7604793593422,3.0889797286193e-06,7.13200965386381e-05
246,ONECUT2,0.696495113634902,3.39807216715558,11.9666181956309,0.00054162151660406,0.00450655030504203
247,CSTA,0.696229742967033,2.84507976328468,13.2604550619645,0.000271063840481592,0.00267937827787255
248,FECH,0.694816289747027,6.09954110176383,47.4407803785582,5.66909510342322e-12,8.30557097234865e-10
249,DNAH8,0.694610730037162,5.29178161806188,7.54737928249074,0.00600974153520353,0.0292735469529264
250,EME2,0.692811279123344,4.32939621840004,29.5859056996245,5.34924930172796e-08,2.35706006203605e-06
251,MT1G,-0.692284108802911,6.39874231336646,7.24556097572713,0.00710765051793877,0.0330405418207599
252,COMP,0.69215612829546,6.08605602998416,9.49179113296384,0.00206393233905411,0.0130973880785614
